key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_practice1.keys,key_resp_practice1.corr,key_resp_practice1.rt,practice_1.thisRepN,practice_1.thisTrialN,practice_1.thisN,practice_1.thisIndex,practice_1.ran,square,loc1,loc2,stim,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_4.keys,key_resp_4.rt,key_resp_practice2.keys,key_resp_practice2.corr,key_resp_practice2.rt,practice_2.thisRepN,practice_2.thisTrialN,practice_2.thisN,practice_2.thisIndex,practice_2.ran,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,4.74893,space,3.473545,left,1,0.825905,0,0,0,0,1,1,-0.12,0.12,▲,left,,001,2020-05-24_11h14.57.643,TaskSwitching-proto,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,
,,,,right,1,0.30792,0,1,1,1,1,2,0.12,0.12,∎,right,,001,2020-05-24_11h14.57.643,TaskSwitching-proto,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,
,,,,left,1,0.250945,0,2,2,2,1,1,-0.12,0.12,▲,left,,001,2020-05-24_11h14.57.643,TaskSwitching-proto,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,
,,,,right,1,0.31481,0,3,3,3,1,2,0.12,0.12,∎,right,,001,2020-05-24_11h14.57.643,TaskSwitching-proto,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,
,,,,left,0,0.372965,0,4,4,4,1,1,-0.12,0.12,∎,right,,001,2020-05-24_11h14.57.643,TaskSwitching-proto,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,
,,,,left,1,1.217235,0,5,5,5,1,2,0.12,0.12,▲,left,,001,2020-05-24_11h14.57.643,TaskSwitching-proto,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,
,,,,right,1,0.43971,0,6,6,6,1,1,-0.12,0.12,∎,right,,001,2020-05-24_11h14.57.643,TaskSwitching-proto,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,
,,,,right,0,0.83385,0,7,7,7,1,2,0.12,0.12,▲,left,,001,2020-05-24_11h14.57.643,TaskSwitching-proto,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,
,,,,left,1,0.755085,0,8,8,8,1,1,-0.12,0.12,▲,left,,001,2020-05-24_11h14.57.643,TaskSwitching-proto,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,
,,,,right,1,0.51681,0,9,9,9,1,2,0.12,0.12,∎,right,,001,2020-05-24_11h14.57.643,TaskSwitching-proto,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,3,0.12,-0.12,•,b,,001,2020-05-24_11h14.57.643,TaskSwitching-proto,2020.1.3,Win32,60,space,1.691715,b,1,0.57904,0,0,0,0,1,,,,,,,,,,
,,,,,,,,,,,,4,-0.12,-0.12,••,n,,001,2020-05-24_11h14.57.643,TaskSwitching-proto,2020.1.3,Win32,60,,,n,1,0.546765,0,1,1,1,1,,,,,,,,,,
,,,,,,,,,,,,3,0.12,-0.12,••,n,,001,2020-05-24_11h14.57.643,TaskSwitching-proto,2020.1.3,Win32,60,,,b,0,0.87113,0,2,2,2,1,,,,,,,,,,
,,,,,,,,,,,,4,-0.12,-0.12,•,b,,001,2020-05-24_11h14.57.643,TaskSwitching-proto,2020.1.3,Win32,60,,,n,0,0.43737,0,3,3,3,1,,,,,,,,,,
,,,,,,,,,,,,3,0.12,-0.12,•,b,,001,2020-05-24_11h14.57.643,TaskSwitching-proto,2020.1.3,Win32,60,,,n,0,0.566545,0,4,4,4,1,,,,,,,,,,
,,,,,,,,,,,,4,-0.12,-0.12,••,n,,001,2020-05-24_11h14.57.643,TaskSwitching-proto,2020.1.3,Win32,60,,,b,0,0.300025,0,5,5,5,1,,,,,,,,,,
,,,,,,,,,,,,3,0.12,-0.12,•,b,,001,2020-05-24_11h14.57.643,TaskSwitching-proto,2020.1.3,Win32,60,,,n,0,0.36601,0,6,6,6,1,,,,,,,,,,
,,,,,,,,,,,,4,-0.12,-0.12,••,n,,001,2020-05-24_11h14.57.643,TaskSwitching-proto,2020.1.3,Win32,60,,,b,0,0.391035,0,7,7,7,1,,,,,,,,,,
,,,,,,,,,,,,3,0.12,-0.12,•,b,,001,2020-05-24_11h14.57.643,TaskSwitching-proto,2020.1.3,Win32,60,,,n,0,0.445705,0,8,8,8,1,,,,,,,,,,
,,,,,,,,,,,,4,-0.12,-0.12,•,b,,001,2020-05-24_11h14.57.643,TaskSwitching-proto,2020.1.3,Win32,60,,,n,0,0.845915,0,9,9,9,1,,,,,,,,,,
,,,,,,,,,,,,1,-0.12,0.12,▲,left,,001,2020-05-24_11h14.57.643,TaskSwitching-proto,2020.1.3,Win32,60,,,,,,,,,,,space,3.76705,left,1,0.600615,0,0,0,0,1
,,,,,,,,,,,,2,0.12,0.12,∎,right,,001,2020-05-24_11h14.57.643,TaskSwitching-proto,2020.1.3,Win32,60,,,,,,,,,,,,,right,1,0.46926,0,1,1,1,1
,,,,,,,,,,,,3,0.12,-0.12,•,b,,001,2020-05-24_11h14.57.643,TaskSwitching-proto,2020.1.3,Win32,60,,,,,,,,,,,,,n,0,0.8682,0,2,2,2,1
,,,,,,,,,,,,4,-0.12,-0.12,••,n,,001,2020-05-24_11h14.57.643,TaskSwitching-proto,2020.1.3,Win32,60,,,,,,,,,,,,,n,1,0.99015,0,3,3,3,1
,,,,,,,,,,,,1,-0.12,0.12,▲,left,,001,2020-05-24_11h14.57.643,TaskSwitching-proto,2020.1.3,Win32,60,,,,,,,,,,,,,left,1,0.650785,0,4,4,4,1
,,,,,,,,,,,,2,0.12,0.12,▲,left,,001,2020-05-24_11h14.57.643,TaskSwitching-proto,2020.1.3,Win32,60,,,,,,,,,,,,,left,1,0.878315,0,5,5,5,1
,,,,,,,,,,,,3,0.12,-0.12,••,n,,001,2020-05-24_11h14.57.643,TaskSwitching-proto,2020.1.3,Win32,60,,,,,,,,,,,,,n,1,0.680465,0,6,6,6,1
,,,,,,,,,,,,4,-0.12,-0.12,•,b,,001,2020-05-24_11h14.57.643,TaskSwitching-proto,2020.1.3,Win32,60,,,,,,,,,,,,,b,1,0.575525,0,7,7,7,1
,,,,,,,,,,,,1,-0.12,0.12,∎,right,,001,2020-05-24_11h14.57.643,TaskSwitching-proto,2020.1.3,Win32,60,,,,,,,,,,,,,right,1,0.58577,0,8,8,8,1
,,,,,,,,,,,,2,0.12,0.12,▲,left,,001,2020-05-24_11h14.57.643,TaskSwitching-proto,2020.1.3,Win32,60,,,,,,,,,,,,,left,1,0.99628,0,9,9,9,1
,,,,,,,,,,,,3,0.12,-0.12,•,b,,001,2020-05-24_11h14.57.643,TaskSwitching-proto,2020.1.3,Win32,60,,,,,,,,,,,,,b,1,1.032955,0,10,10,10,1
,,,,,,,,,,,,4,-0.12,-0.12,•,b,,001,2020-05-24_11h14.57.643,TaskSwitching-proto,2020.1.3,Win32,60,,,,,,,,,,,,,b,1,0.708805,0,11,11,11,1
